Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID,PAYMENTID,EMPLOYEEID
,135913,1214,1403,2011-04-16 07:54:17.127000,2011-05-01 00:00:00,,,260285,1608,978192,1024239,91
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268089,1608,978192,1024239,93
,130495,1125,1400,2011-03-17 07:05:03.563000,2011-04-01 00:00:00,,,252871,1605,978193,989779,91
,130496,1126,1375,2011-03-17 07:05:06.733000,2011-04-01 00:00:00,,,252872,1578,978194,975801,91
,130498,1128,1435,2011-03-17 07:05:13.093000,2011-04-01 00:00:00,,,252874,1641,978195,969151,91
,130498,1128,1435,2011-03-17 07:05:13.093000,2011-04-01 00:00:00,,,252874,1641,978195,971539,91
,130499,1129,1299,2011-03-17 07:05:16.360000,2011-04-01 00:00:00,,,252880,1502,978196,980152,91
,135916,1217,1299,2011-04-16 07:54:28.390000,2011-05-01 00:00:00,,,260291,1502,978196,980152,91
,130499,1129,1299,2011-03-17 07:05:16.360000,2011-04-01 00:00:00,,,252880,1502,978196,995309,91
,135916,1217,1299,2011-04-16 07:54:28.390000,2011-05-01 00:00:00,,,260291,1502,978196,995309,91
,130500,1130,1433,2011-03-17 07:05:19.780000,2011-04-01 00:00:00,,,252881,1639,978197,979465,91
,130945,1133,1440,2011-03-18 07:22:21.733000,2011-03-18 23:59:59,,,254163,1818,978871,969644,91
,130946,1134,1525,2011-03-18 07:22:34.233000,2011-03-18 23:59:59,,,254164,1781,978878,969645,91
,130955,1135,29809,2011-03-18 07:24:40.563000,2011-04-02 23:59:59,,,254173,34518,979082,983913,91
,130956,1136,1449,2011-03-18 07:24:44.030000,2011-04-02 23:59:59,,,254174,1655,979083,982334,91
,130957,1137,1444,2011-03-18 07:24:47.297000,2011-04-02 23:59:59,,,254175,1650,979084,975803,91
,131054,1139,1344,2011-03-19 07:39:47.733000,2011-03-19 23:59:59,,,254296,1547,979382,970347,95
,131526,1145,1464,2011-03-22 08:25:50.310000,2011-03-22 23:59:59,,,254958,1670,981190,972099,93
,131522,1141,1325,2011-03-22 08:24:40.030000,2011-04-06 23:59:59,,,254954,1528,981429,987681,93
,131523,1142,1417,2011-03-22 08:24:43.857000,2011-04-06 23:59:59,,,254955,1623,981430,991079,93
,131524,1143,7681,2011-03-22 08:24:47.060000,2011-04-06 23:59:59,,,254956,1749,981431,978447,93
,131525,1144,122852,2011-03-22 08:24:50.250000,2011-04-06 23:59:59,,,254957,1589,981432,982706,93
,131588,1146,1605,2011-03-23 08:12:36.627000,2011-04-07 23:59:59,,,255040,1817,981901,986898,91
,131650,1148,1377,2011-03-24 07:04:14.517000,2011-03-24 23:59:59,,,255121,1580,982147,973397,91
,131651,1149,1310,2011-03-24 07:04:20.140000,2011-03-24 23:59:59,,,255122,1602,982149,973398,91
,131649,1147,27285,2011-03-24 07:03:52.877000,2011-04-22 23:59:59,,,255120,31594,982368,995145,91
,131773,1151,1543,2011-03-25 08:12:41.173000,2011-03-25 23:59:59,,,255273,1751,982647,973974,93
,131769,1150,19424,2011-03-25 08:11:57.547000,2011-04-09 23:59:59,,,255267,22314,982827,990321,93
,131822,1153,1305,2011-03-26 06:09:11.593000,2011-03-26 23:59:59,,,255328,1508,983185,974780,91
,131821,1152,39387,2011-03-26 06:08:46.500000,2011-04-10 23:59:59,,,255327,44539,983365,987669,91
,131998,1158,1555,2011-03-28 08:31:44.220000,2011-03-27 23:59:59,,,255556,1764,983807,975734,93
,131997,1157,40293,2011-03-28 08:31:26.907000,2011-03-27 23:59:59,,,255555,33237,983810,975733,93
,131999,1159,1342,2011-03-28 08:31:49.657000,2011-03-28 23:59:59,,,255557,1545,984038,975735,93
,132000,1160,1497,2011-03-28 08:31:55.157000,2011-03-28 23:59:59,,,255558,1703,984041,975736,93
,132001,1161,1525,2011-03-28 08:32:01.017000,2011-03-28 23:59:59,,,255559,1732,984042,975738,93
,132002,1162,1310,2011-03-28 08:32:10.157000,2011-03-28 23:59:59,,,255560,1513,984046,975739,93
,131976,1154,41371,2011-03-28 08:27:54.047000,2011-04-11 23:59:59,,,255524,47056,984281,990351,93
,131978,1156,1436,2011-03-28 08:28:03.530000,2011-04-12 23:59:59,,,255526,1642,984282,1013867,93
,137536,1247,1436,2011-04-27 08:06:06.613000,2011-05-12 23:59:59,,,263150,1642,984282,1013867,91
,132281,1163,1509,2011-03-30 07:08:02.970000,2011-04-14 23:59:59,,,256002,1715,985682,987347,91
,132375,1166,38058,2011-03-31 06:57:02.923000,2011-03-31 23:59:59,,,256116,42880,986079,978158,91
,132373,1164,28616,2011-03-31 06:56:36.673000,2011-04-15 23:59:59,,,256114,33032,986243,994717,91
,132373,1164,28616,2011-03-31 06:56:36.673000,2011-04-15 23:59:59,,,256114,33032,986243,994718,91
,132374,1165,1518,2011-03-31 06:56:40.063000,2011-04-15 23:59:59,,,256115,1724,986244,997191,91
,132831,1169,1605,2011-04-01 07:14:07.593000,2011-04-01 00:00:00,,,256619,1822,986908,979448,91
,132850,1172,1345,2011-04-01 07:14:38.953000,2011-04-01 00:00:00,,,256638,1548,986912,979470,91
,132842,1171,1508,2011-04-01 07:14:22.437000,2011-04-01 00:00:00,,,256630,1714,986918,979459,91
,132836,1170,1330,2011-04-01 07:14:12.517000,2011-04-01 00:00:00,,,256624,1533,986927,979453,91
,132823,1167,1309,2011-04-01 07:13:46.483000,2011-04-01 00:00:00,,,256611,1512,986931,979438,91
,132828,1168,1339,2011-04-01 07:14:01.220000,2011-04-01 00:00:00,,,256616,1542,986932,979445,91
,134284,1174,39205,2011-04-02 08:12:03.983000,2011-04-02 23:59:59,,,258139,44332,992850,982335,93
,134285,1175,1319,2011-04-02 08:12:09.077000,2011-04-02 23:59:59,,,258140,1522,992852,982336,93
,134283,1173,47080,2011-04-02 08:11:21.453000,2011-04-17 23:59:59,,,258138,53420,993097,1020223,93
,138897,1257,47080,2011-05-02 09:31:03.077000,2011-05-17 23:59:59,,,264868,53420,993097,1020223,93
,134447,1180,1390,2011-04-04 08:19:14.767000,2011-04-03 23:59:59,,,258328,1594,993373,983390,91
,135642,1208,46689,2011-04-13 14:31:32.370000,2011-05-03 23:59:59,,,259899,53030,993378,1013109,91
,136229,1221,46689,2011-04-18 09:16:35.733000,2011-05-03 23:59:59,,,260695,53030,993378,1013109,93
,134448,1181,1380,2011-04-04 08:19:20.267000,2011-04-04 23:59:59,,,258329,1583,993720,983393,91
,134442,1178,1449,2011-04-04 08:19:04.220000,2011-04-04 23:59:59,,,258323,53069,993722,983385,91
,134445,1179,1376,2011-04-04 08:19:09.563000,2011-04-04 23:59:59,,,258326,1579,993723,983388,91
,134450,1182,38156,2011-04-04 08:19:25.767000,2011-04-04 23:59:59,,,258331,43098,993724,983395,91
,134437,1176,1520,2011-04-04 08:18:34.767000,2011-04-19 23:59:59,,,258318,1726,993965,995718,91
,134438,1177,1433,2011-04-04 08:18:39.063000,2011-04-19 23:59:59,,,258319,52573,993966,994382,91
,134657,1185,1340,2011-04-05 07:58:16.400000,2011-04-05 23:59:59,,,258612,1757,994400,984642,91
,134655,1183,1322,2011-04-05 07:57:50.087000,2011-04-20 23:59:59,,,258610,1525,994637,987687,91
,134656,1184,1468,2011-04-05 07:57:54.183000,2011-04-20 23:59:59,,,258611,1674,994638,995016,91
,134870,1190,1356,2011-04-06 08:36:08.260000,2011-04-06 23:59:59,,,258876,1559,995001,985931,95
,134871,1191,1598,2011-04-06 08:36:15.557000,2011-04-06 23:59:59,,,258877,44334,995002,985932,95
,134866,1186,1303,2011-04-06 08:33:40.650000,2011-04-21 23:59:59,,,258872,1506,995700,1011922,95
,140392,1274,1303,2011-05-06 08:01:39.173000,2011-05-21 23:59:59,,,266547,1506,995700,1011922,91
,134867,1187,46363,2011-04-06 08:33:44.103000,2011-04-21 23:59:59,,,258873,52671,995701,998170,95
,134868,1188,19424,2011-04-06 08:33:47.277000,2011-04-21 23:59:59,,,258874,50682,995702,990322,95
,134869,1189,122852,2011-04-06 08:33:50.527000,2011-04-21 23:59:59,,,258875,1827,995703,990886,95
,134982,1194,1539,2011-04-07 09:21:55.500000,2011-04-07 23:59:59,,,259033,1746,996081,986897,93
,134983,1195,1310,2011-04-07 09:22:06.500000,2011-04-07 23:59:59,,,259034,1789,996082,986899,93
,135916,1217,1299,2011-04-16 07:54:28.390000,2011-05-01 00:00:00,,,260292,1502,996083,995310,91
,135913,1214,1403,2011-04-16 07:54:17.127000,2011-05-01 00:00:00,,,260284,1604,996087,1024240,91
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268083,1604,996087,1024240,93
,135913,1214,1403,2011-04-16 07:54:17.127000,2011-05-01 00:00:00,,,260286,1608,996089,1024241,91
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268090,1608,996089,1024241,93
,134978,1192,31001,2011-04-07 09:18:44.797000,2011-04-22 23:59:59,,,259029,35771,996355,991587,93
,134979,1193,1441,2011-04-07 09:18:49.890000,2011-04-22 23:59:59,,,259030,1647,996356,997200,93
,135084,1196,46025,2011-04-08 08:30:27.813000,2011-04-08 23:59:59,,,259175,52016,996664,987605,95
,135085,1197,1605,2011-04-08 08:30:33.577000,2011-04-08 23:59:59,,,259176,1823,996665,987606,95
,135146,1199,1460,2011-04-09 08:49:36.530000,2011-04-09 23:59:59,,,259247,1666,997498,988435,95
,135145,1198,33499,2011-04-09 08:49:30.530000,2011-04-09 23:59:59,,,259246,37183,997499,988434,95
,135642,1208,46689,2011-04-13 14:31:32.370000,2011-05-03 23:59:59,,,259900,53030,997501,1013110,91
,136229,1221,46689,2011-04-18 09:16:35.733000,2011-05-03 23:59:59,,,260696,53030,997501,1013110,93
,137535,1246,1378,2011-04-27 08:06:02.113000,2011-05-12 23:59:59,,,263149,1581,997773,988439,91
,137535,1246,1378,2011-04-27 08:06:02.113000,2011-05-12 23:59:59,,,263149,1581,997773,1007575,91
,135306,1203,1408,2011-04-11 09:32:36.047000,2011-04-10 23:59:59,,,259465,1613,998025,989252,93
,135304,1201,39407,2011-04-11 09:32:22.907000,2011-04-11 23:59:59,,,259463,44560,998330,989249,93
,135305,1202,1340,2011-04-11 09:32:29.063000,2011-04-11 23:59:59,,,259464,8218,998334,989251,93
,135303,1200,46455,2011-04-11 09:31:53.907000,2011-04-25 23:59:59,,,259462,52764,999034,1001078,93
,135914,1215,1400,2011-04-16 07:54:22.077000,2011-05-01 00:00:00,,,260289,1605,999326,989781,91
,135914,1215,1400,2011-04-16 07:54:22.077000,2011-05-01 00:00:00,,,260289,1605,999326,1003686,91
,135440,1205,1340,2011-04-12 09:43:10.307000,2011-04-12 23:59:59,,,259620,1543,999379,990029,93
,135439,1204,1590,2011-04-12 09:42:22.807000,2011-04-27 23:59:59,,,259619,1801,999662,991958,93
,135545,1207,1365,2011-04-13 08:08:06.667000,2011-04-13 23:59:59,,,259776,1568,999951,990801,91
,135544,1206,1333,2011-04-13 08:08:00.417000,2011-04-13 23:59:59,,,259775,1536,999952,990800,91
,135650,1209,1386,2011-04-14 07:51:08.933000,2011-04-14 23:59:59,,,259913,1590,1000407,991392,91
,135653,1212,1391,2011-04-14 07:51:25.370000,2011-04-14 23:59:59,,,259916,1595,1000408,991395,91
,135652,1211,33593,2011-04-14 07:51:20.340000,2011-04-14 23:59:59,,,259915,37289,1000409,991394,91
,135654,1213,1357,2011-04-14 07:51:30.980000,2011-04-14 23:59:59,,,259917,1560,1000411,991396,91
,135651,1210,38399,2011-04-14 07:51:14.403000,2011-04-14 23:59:59,,,259914,43386,1000412,991393,91
,135918,1219,41198,2011-04-16 07:54:52.453000,2011-04-16 23:59:59,,,260295,46902,1001608,993115,91
,135913,1214,1403,2011-04-16 07:54:17.127000,2011-05-01 00:00:00,,,260287,1604,1001841,1024244,91
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268084,1604,1001841,1024244,93
,135913,1214,1403,2011-04-16 07:54:17.127000,2011-05-01 00:00:00,,,260288,1608,1001842,1024245,91
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268091,1608,1001842,1024245,93
,135915,1216,1375,2011-04-16 07:54:25.250000,2011-05-01 00:00:00,,,260290,1578,1001843,1000701,91
,135916,1217,1299,2011-04-16 07:54:28.390000,2011-05-01 00:00:00,,,260293,1502,1001844,1020232,91
,141550,1308,1299,2011-05-17 09:16:01.953000,2011-06-01 00:00:00,,,268100,1502,1001844,1020232,93
,135917,1218,1433,2011-04-16 07:54:31.657000,2011-05-01 00:00:00,,,260294,1639,1001845,1003690,91
,136234,1226,1550,2011-04-18 09:21:50.750000,2011-04-17 23:59:59,,,260702,1758,1002347,993797,93
,136237,1229,1310,2011-04-18 09:22:11.127000,2011-04-17 23:59:59,,,260705,1806,1002348,993800,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268085,1604,1002354,1024242,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268095,1608,1002355,1024243,93
,136233,1225,1440,2011-04-18 09:21:45.250000,2011-04-18 23:59:59,,,260701,1818,1002617,993796,93
,136235,1227,1341,2011-04-18 09:21:56.203000,2011-04-18 23:59:59,,,260703,1544,1002620,993798,93
,136232,1224,48572,2011-04-18 09:21:39.610000,2011-04-18 23:59:59,,,260700,49403,1002623,993795,93
,136236,1228,1525,2011-04-18 09:22:01.627000,2011-04-18 23:59:59,,,260704,1781,1002624,993799,93
,137536,1247,1436,2011-04-27 08:06:06.613000,2011-05-12 23:59:59,,,263151,1642,1002626,1013868,91
,136228,1220,29809,2011-04-18 09:16:31.970000,2011-05-02 23:59:59,,,260694,34518,1002885,1010688,93
,136229,1221,46689,2011-04-18 09:16:35.733000,2011-05-03 23:59:59,,,260697,53030,1002886,1013112,93
,136231,1223,1501,2011-04-18 09:16:42.203000,2011-05-03 23:59:59,,,260699,1707,1002888,998853,93
,136468,1230,1344,2011-04-19 09:44:28.483000,2011-04-19 23:59:59,,,261085,1547,1003515,994381,93
,137932,1254,28616,2011-04-30 09:30:57.063000,2011-05-15 23:59:59,,,263849,33032,1003945,994719,93
,137932,1254,28616,2011-04-30 09:30:57.063000,2011-05-15 23:59:59,,,263849,33032,1003945,1018117,93
,137932,1254,28616,2011-04-30 09:30:57.063000,2011-05-15 23:59:59,,,263848,33032,1003960,1018116,93
,136746,1231,1325,2011-04-21 10:38:13.627000,2011-05-06 23:59:59,,,261969,1528,1004993,1004193,93
,136747,1232,1417,2011-04-21 10:38:17.767000,2011-05-06 23:59:59,,,261970,1623,1004994,1045571,93
,142645,1322,1417,2011-05-23 09:03:53.760000,2011-06-06 23:59:59,,,270317,1623,1004994,1045571,93
,148067,1418,1417,2011-06-21 09:06:34.687000,2011-07-06 23:59:59,,,277832,1623,1004994,1045571,93
,136748,1233,7681,2011-04-21 10:38:21.063000,2011-05-06 23:59:59,,,261971,1749,1004995,1001990,93
,136749,1234,122852,2011-04-21 10:38:24.313000,2011-05-06 23:59:59,,,261972,1589,1004996,1012440,93
,137241,1238,1464,2011-04-23 13:07:37.733000,2011-04-22 23:59:59,,,262749,1670,1005329,997199,93
,138897,1257,47080,2011-05-02 09:31:03.077000,2011-05-17 23:59:59,,,264869,53420,1006182,1020224,93
,137238,1235,27285,2011-04-23 12:46:55.983000,2011-05-22 23:59:59,,,262744,31594,1006487,1018721,93
,137239,1236,1605,2011-04-23 12:46:59.517000,2011-05-07 23:59:59,,,262745,1817,1006488,1010653,93
,137240,1237,19382,2011-04-23 12:47:02.687000,2011-05-07 23:59:59,,,262748,34536,1006489,1000067,93
,180241,1851,49053,2011-11-08 10:10:50.703000,2011-11-23 23:59:59,,,323601,55423,1006549,997287,93
,180241,1851,49053,2011-11-08 10:10:50.703000,2011-11-23 23:59:59,,,323601,55423,1006549,1279302,93
,137293,1243,1377,2011-04-25 09:28:12.673000,2011-04-24 23:59:59,,,262825,1580,1006696,997655,93
,137292,1242,47256,2011-04-25 09:28:07.733000,2011-04-24 23:59:59,,,262824,53630,1006698,997654,93
,137294,1244,1310,2011-04-25 09:28:18.157000,2011-04-24 23:59:59,,,262826,1602,1006699,997656,93
,137291,1241,1543,2011-04-25 09:28:02.127000,2011-04-25 23:59:59,,,262823,1751,1006957,997653,93
,137289,1239,39387,2011-04-25 09:27:09.907000,2011-05-10 23:59:59,,,262821,44539,1007172,1012682,93
,137290,1240,19424,2011-04-25 09:27:14.110000,2011-05-09 23:59:59,,,262822,22314,1007173,1017067,93
,137451,1245,1305,2011-04-26 09:19:35.110000,2011-04-26 23:59:59,,,263013,1508,1007620,998389,93
,137537,1248,1555,2011-04-27 08:06:33.410000,2011-04-27 23:59:59,,,263153,1764,1008286,998978,91
,140392,1274,1303,2011-05-06 08:01:39.173000,2011-05-21 23:59:59,,,266548,1506,1008290,1011923,91
,137536,1247,1436,2011-04-27 08:06:06.613000,2011-05-12 23:59:59,,,263152,1642,1008496,1013870,91
,137536,1247,1436,2011-04-27 08:06:06.613000,2011-05-12 23:59:59,,,263152,1642,1008496,1013875,91
,137635,1249,1342,2011-04-28 08:00:22.390000,2011-04-28 23:59:59,,,263303,1545,1008878,999727,91
,137636,1250,1497,2011-04-28 08:00:28.063000,2011-04-28 23:59:59,,,263304,1703,1008882,999728,91
,137637,1251,1525,2011-04-28 08:00:33.657000,2011-04-28 23:59:59,,,263305,1732,1008884,999729,91
,137638,1252,1310,2011-04-28 08:00:39.047000,2011-04-28 23:59:59,,,263306,1513,1008887,999730,91
,137806,1253,1509,2011-04-29 07:58:42.407000,2011-05-14 23:59:59,,,263671,1715,1009870,1019365,91
,137806,1253,1509,2011-04-29 07:58:42.407000,2011-05-14 23:59:59,,,263671,1715,1009870,1019366,91
,137934,1256,38058,2011-04-30 09:31:59.280000,2011-03-31 23:59:59,,,263851,42880,1010457,1001664,93
,138900,1260,1605,2011-05-02 09:32:21.470000,2011-05-01 00:00:00,,,264873,1822,1011472,1003687,93
,138903,1263,1345,2011-05-02 09:32:47.047000,2011-05-01 00:00:00,,,264876,1548,1011476,1003691,93
,138901,1261,1508,2011-05-02 09:32:30.813000,2011-05-01 00:00:00,,,264874,1714,1011481,1003688,93
,138899,1259,1309,2011-05-02 09:32:10.547000,2011-05-01 00:00:00,,,264872,1512,1011491,1003685,93
,138898,1258,39205,2011-05-02 09:32:05.267000,2011-05-02 23:59:59,,,264871,44332,1016999,1003684,93
,138902,1262,1319,2011-05-02 09:32:36.377000,2011-05-02 23:59:59,,,264875,1522,1017003,1003689,93
,138897,1257,47080,2011-05-02 09:31:03.077000,2011-05-17 23:59:59,,,264870,53420,1017323,1020226,93
,139589,1264,1441,2011-05-03 09:37:33.953000,2011-05-22 23:59:59,,,265596,55760,1017646,1004990,93
,139589,1264,1441,2011-05-03 09:37:33.953000,2011-05-22 23:59:59,,,265596,55760,1017646,1005643,93
,139590,1265,1390,2011-05-03 09:38:20.017000,2011-05-03 23:59:59,,,265597,1594,1017797,1005644,93
,140166,1269,1380,2011-05-04 08:32:10.047000,2011-05-04 23:59:59,,,266251,1583,1018487,1007326,91
,140165,1268,1376,2011-05-04 08:32:04.453000,2011-05-04 23:59:59,,,266250,1579,1018488,1007325,91
,140167,1270,38156,2011-05-04 08:32:15.360000,2011-05-04 23:59:59,,,266252,43098,1018489,1007327,91
,140163,1266,1520,2011-05-04 08:31:34.673000,2011-05-19 23:59:59,,,266248,1726,1018751,1032319,91
,145897,1358,1520,2011-06-04 09:08:32.640000,2011-06-19 23:59:59,,,274169,1726,1018751,1032319,93
,140164,1267,1433,2011-05-04 08:31:39.077000,2011-05-19 23:59:59,,,266249,52573,1018752,1019095,91
,143397,1341,1378,2011-05-28 07:41:27.720000,2011-06-12 23:59:59,,,271440,1581,1018843,1007576,91
,143397,1341,1378,2011-05-28 07:41:27.720000,2011-06-12 23:59:59,,,271440,1581,1018843,1034647,91
,140283,1273,1340,2011-05-05 08:19:21.453000,2011-05-05 23:59:59,,,266417,1757,1019097,1008386,91
,140281,1271,1322,2011-05-05 08:18:51.173000,2011-05-20 23:59:59,,,266415,1525,1019365,1016288,91
,140282,1272,1468,2011-05-05 08:18:55.860000,2011-05-20 23:59:59,,,266416,1674,1019366,1019668,91
,140396,1278,1356,2011-05-06 08:02:07.470000,2011-05-06 23:59:59,,,266553,1559,1019704,1009554,91
,140397,1279,1598,2011-05-06 08:02:13.453000,2011-05-06 23:59:59,,,266554,44334,1019705,1009555,91
,140392,1274,1303,2011-05-06 08:01:39.173000,2011-05-21 23:59:59,,,266549,1506,1020469,1024296,91
,146063,1364,1303,2011-06-06 09:32:26.687000,2011-06-21 23:59:59,,,274396,1506,1020469,1024296,93
,140392,1274,1303,2011-05-06 08:01:39.173000,2011-05-21 23:59:59,,,266549,1506,1020469,1038697,91
,146063,1364,1303,2011-06-06 09:32:26.687000,2011-06-21 23:59:59,,,274396,1506,1020469,1038697,93
,140393,1275,46363,2011-05-06 08:01:43.017000,2011-05-21 23:59:59,,,266550,52671,1020470,1034830,91
,146064,1365,46363,2011-06-06 09:32:30.280000,2011-06-21 23:59:59,,,274400,52671,1020470,1034830,93
,140394,1276,19424,2011-05-06 08:01:46.280000,2011-05-21 23:59:59,,,266551,50682,1020472,1017069,91
,140395,1277,122852,2011-05-06 08:01:49.483000,2011-05-21 23:59:59,,,266552,1827,1020473,1021842,91
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268087,1604,1020475,1024246,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268092,1608,1020476,1024247,93
,140505,1283,47554,2011-05-07 09:29:13.250000,2011-05-07 23:59:59,,,266711,53969,1020956,1010652,93
,140504,1282,1539,2011-05-07 09:29:05.627000,2011-05-07 23:59:59,,,266710,1746,1020957,1010651,93
,140506,1284,1310,2011-05-07 09:29:27.733000,2011-05-07 23:59:59,,,266712,1789,1020958,1010654,93
,141550,1308,1299,2011-05-17 09:16:01.953000,2011-06-01 00:00:00,,,268102,1502,1020962,1020233,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268088,1604,1020965,1024248,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268094,1608,1020966,1024249,93
,140502,1280,31001,2011-05-07 09:27:32.530000,2011-05-22 23:59:59,,,266708,35771,1021229,1016290,93
,140503,1281,1441,2011-05-07 09:27:36.657000,2011-05-22 23:59:59,,,266709,55760,1021230,1021088,93
,140641,1288,46025,2011-05-09 09:30:32.280000,2011-05-08 23:59:59,,,266871,52016,1021524,1011487,93
,140642,1289,1605,2011-05-09 09:30:41.423000,2011-05-08 23:59:59,,,266872,1823,1021525,1011488,93
,140640,1287,1460,2011-05-09 09:30:26.937000,2011-05-09 23:59:59,,,266870,1666,1022067,1011486,93
,140639,1286,33499,2011-05-09 09:30:21.453000,2011-05-09 23:59:59,,,266869,37183,1022068,1011485,93
,140638,1285,1379,2011-05-09 09:29:36.360000,2011-05-23 23:59:59,,,266868,1582,1022410,1030076,93
,140787,1291,1408,2011-05-10 10:25:20.437000,2011-05-10 23:59:59,,,267053,1613,1022727,1012418,93
,140786,1290,46455,2011-05-10 10:24:41.843000,2011-05-25 23:59:59,,,267052,52764,1023030,1023977,93
,141164,1298,47652,2011-05-13 14:03:21.563000,2011-05-11 23:59:59,,,267542,54083,1023355,1015711,91
,140883,1292,39407,2011-05-11 10:21:16.577000,2011-05-11 23:59:59,,,267193,44560,1023356,1013434,93
,140884,1293,1340,2011-05-11 10:21:22.517000,2011-05-11 23:59:59,,,267194,8218,1023360,1013436,93
,140995,1295,1340,2011-05-12 08:22:04.407000,2011-05-12 23:59:59,,,267325,1543,1024485,1014091,91
,142645,1322,1417,2011-05-23 09:03:53.760000,2011-06-06 23:59:59,,,270318,1623,1024487,1045572,93
,148067,1418,1417,2011-06-21 09:06:34.687000,2011-07-06 23:59:59,,,277833,1623,1024487,1045572,93
,140994,1294,1590,2011-05-12 08:21:27.297000,2011-05-27 23:59:59,,,267324,1801,1024719,1022860,91
,142113,1319,49748,2011-05-19 08:41:31.733000,2011-05-19 23:59:59,,,269601,56152,1024940,1019093,91
,141061,1297,1365,2011-05-13 08:06:37.720000,2011-05-13 23:59:59,,,267409,1568,1025249,1015254,91
,141060,1296,1333,2011-05-13 08:06:31.953000,2011-05-13 23:59:59,,,267408,1536,1025250,1015253,91
,141175,1303,1386,2011-05-14 08:03:37.780000,2011-05-14 23:59:59,,,267556,1590,1025747,1016182,91
,141173,1301,1391,2011-05-14 08:02:50.970000,2011-05-14 23:59:59,,,267554,1595,1025748,1016180,91
,141172,1300,33593,2011-05-14 08:02:46.017000,2011-05-14 23:59:59,,,267553,37289,1025749,1016179,91
,141174,1302,1357,2011-05-14 08:03:00.673000,2011-05-14 23:59:59,,,267555,1560,1025751,1016181,91
,141171,1299,38399,2011-05-14 08:02:40.173000,2011-05-14 23:59:59,,,267552,43386,1025752,1016178,91
,145948,1361,46998,2011-06-04 12:39:59.360000,2011-06-14 23:59:59,,,274251,53327,1025754,1039996,93
,146061,1362,1322,2011-06-06 09:32:19.813000,2011-06-20 23:59:59,,,274394,1525,1026013,1016289,93
,146061,1362,1322,2011-06-06 09:32:19.813000,2011-06-20 23:59:59,,,274394,1525,1026013,1036782,93
,141334,1304,41198,2011-05-16 09:07:34.863000,2011-05-16 23:59:59,,,267753,46902,1026576,1016990,93
,141552,1310,1550,2011-05-17 09:16:43.453000,2011-05-17 23:59:59,,,268105,1758,1027421,1017669,93
,141553,1311,1310,2011-05-17 09:16:48.797000,2011-05-17 23:59:59,,,268106,1806,1027423,1017670,93
,141550,1308,1299,2011-05-17 09:16:01.953000,2011-06-01 00:00:00,,,268101,1502,1027426,1020234,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268086,1604,1027428,1024250,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268093,1608,1027429,1024251,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268096,1604,1027657,1153905,93
,147162,1396,1403,2011-06-16 09:07:10.077000,2011-07-01 00:00:00,,,275810,1604,1027657,1153905,93
,153356,1496,1403,2011-07-18 10:01:18.577000,2011-08-01 00:00:00,,,284402,1604,1027657,1153905,93
,141547,1305,1403,2011-05-17 09:15:49.343000,2011-06-01 00:00:00,,,268097,1608,1027658,1153906,93
,147162,1396,1403,2011-06-16 09:07:10.077000,2011-07-01 00:00:00,,,275812,1608,1027658,1153906,93
,153356,1496,1403,2011-07-18 10:01:18.577000,2011-08-01 00:00:00,,,284409,1608,1027658,1153906,93
,141548,1306,1400,2011-05-17 09:15:55.173000,2011-06-01 00:00:00,,,268098,1605,1027659,1027130,93
,141549,1307,1375,2011-05-17 09:15:58.577000,2011-06-01 00:00:00,,,268099,1578,1027660,1028932,93
,141550,1308,1299,2011-05-17 09:16:01.953000,2011-06-01 00:00:00,,,268103,1502,1027661,1020235,93
,141551,1309,1433,2011-05-17 09:16:05.500000,2011-06-01 00:00:00,,,268104,1639,1027662,1027134,93
,141873,1314,1440,2011-05-18 08:32:16.390000,2011-05-18 23:59:59,,,268714,1818,1028404,1018484,91
,141872,1313,47856,2011-05-18 08:32:08.483000,2011-05-18 23:59:59,,,268713,54303,1028406,1018483,91
,141874,1315,1341,2011-05-18 08:32:25.907000,2011-05-18 23:59:59,,,268715,1544,1028408,1018485,91
,141875,1316,1525,2011-05-18 08:32:31.203000,2011-05-18 23:59:59,,,268716,1781,1028412,1018486,91
