Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID,PAYMENTID,EMPLOYEEID
,53825,18,1337,2010-04-12 09:06:51.427000,2010-04-26 23:59:59,,,127435,1540,416471,544176,94
,60596,52,1561,2010-04-19 12:00:57.437000,2010-04-06 23:59:59,,,146995,1770,416608,534896,93
,60596,52,1561,2010-04-19 12:00:57.437000,2010-04-06 23:59:59,,,146995,1770,416608,534987,93
,53670,12,1299,2010-04-08 14:04:19.520000,2010-04-01 00:00:00,,,127241,1502,417050,537521,91
,60436,33,1299,2010-04-16 14:37:51.923000,2010-05-01 00:00:00,,,146747,1502,417050,537521,93
,53663,5,1403,2010-04-08 14:03:51.927000,2010-04-01 00:00:00,,,127231,1604,417052,582457,91
,60432,29,1403,2010-04-16 14:37:27.860000,2010-05-01 00:00:00,,,146739,1604,417052,582457,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149395,1604,417052,582457,91
,53664,6,1403,2010-04-08 14:03:55.567000,2010-04-01 00:00:00,,,127233,1608,417053,582458,91
,60433,30,1403,2010-04-16 14:37:31.140000,2010-05-01 00:00:00,,,146742,1608,417053,582458,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149401,1608,417053,582458,91
,60726,58,1448,2010-04-21 09:56:27.397000,2010-04-08 23:59:59,,,147202,1654,417228,535592,93
,60596,52,1561,2010-04-19 12:00:57.437000,2010-04-06 23:59:59,,,146996,1770,419097,534988,93
,53824,17,1590,2010-04-12 09:06:46.427000,2010-04-27 23:59:59,,,127434,1801,419178,536957,94
,53826,19,1486,2010-04-12 09:06:54.350000,2010-04-27 23:59:59,,,127438,1692,419179,541829,94
,61182,69,1378,2010-04-27 09:13:02.017000,2010-05-12 23:59:59,,,147845,1581,419239,420280,93
,61182,69,1378,2010-04-27 09:13:02.017000,2010-05-12 23:59:59,,,147845,1581,419239,543656,93
,53882,24,1511,2010-04-13 08:57:35.067000,2010-04-28 23:59:59,,,127544,1717,419876,536668,91
,60726,58,1448,2010-04-21 09:56:27.397000,2010-04-08 23:59:59,,,147203,1654,419996,535593,93
,60491,41,1560,2010-04-17 09:50:31.877000,2010-04-09 23:59:59,,,146815,1769,533764,534490,93
,60431,28,1593,2010-04-16 14:37:23.077000,2010-05-01 00:00:00,,,146737,1804,535637,544222,93
,60432,29,1403,2010-04-16 14:37:27.860000,2010-05-01 00:00:00,,,146740,1604,535638,582461,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149396,1604,535638,582461,91
,60433,30,1403,2010-04-16 14:37:31.140000,2010-05-01 00:00:00,,,146743,1608,535639,582462,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149402,1608,535639,582462,91
,60434,31,1400,2010-04-16 14:37:45.627000,2010-05-01 00:00:00,,,146744,1605,535640,539123,93
,60435,32,1375,2010-04-16 14:37:48.813000,2010-05-01 00:00:00,,,146745,1578,535641,539231,93
,60436,33,1299,2010-04-16 14:37:51.923000,2010-05-01 00:00:00,,,146748,1502,535642,537522,93
