Totals & Averages,RECEIPTID,TENANTID,EMPLOYEEID,DCAMT,DRCPT,IRECEIPTNUM,PAYMENTID
,1510852,61126,1179,370,2014-02-06 14:17:17.800000,16389,2547977
,1510852,61126,1179,370,2014-02-06 14:17:17.800000,16389,2547978
,1510852,61126,1179,370,2014-02-06 14:17:17.800000,16389,2547979
,1510852,61126,1179,370,2014-02-06 14:17:17.800000,16389,2547980
,1510852,61126,1179,370,2014-02-06 14:17:17.800000,16389,2547981
,1511026,95899,1179,75,2014-02-06 15:24:25.267000,16390,2548272
,1511026,95899,1179,75,2014-02-06 15:24:25.267000,16390,2548273
,1511036,95899,1179,181,2014-02-06 15:25:11.723000,16391,2548284
,1511036,95899,1179,181,2014-02-06 15:25:11.723000,16391,2548285
,1511036,95899,1179,181,2014-02-06 15:25:11.723000,16391,2548286
,1511036,95899,1179,181,2014-02-06 15:25:11.723000,16391,2548287
,1511036,95899,1179,181,2014-02-06 15:25:11.723000,16391,2548288
,1511138,1507,1179,131,2014-02-06 16:13:38.050000,16392,2548455
,1511222,1576,47,69,2014-02-06 16:54:55.930000,16393,2548583
,1511446,54893,47,222,2014-02-06 19:08:49.093000,16394,2548930
,1511508,41256,47,68,2014-02-06 21:02:08.680000,16395,2549040
,1511608,39064,47,83,2014-02-07 09:49:49.893000,16396,2549190
,1511608,39064,47,83,2014-02-07 09:49:49.893000,16396,2549191
,1511665,110447,93,112,2014-02-07 10:41:39.577000,16397,2549300
,1511666,116061,93,52,2014-02-07 10:41:42.977000,16398,2549301
,1511667,1605,93,136,2014-02-07 10:41:45.987000,16399,2549302
,1511668,1310,93,107,2014-02-07 10:41:48.873000,16400,2549303
,1511684,108506,93,3.87,2014-02-07 10:56:28.683000,16401,2549328
,1511684,108506,93,3.87,2014-02-07 10:56:28.683000,16401,2549331
,1511889,116012,93,70,2014-02-07 13:04:47.080000,16402,2549663
,1512073,115493,93,60,2014-02-07 14:25:14.057000,16403,2549947
,1512385,49053,93,124,2014-02-07 16:38:18.803000,16404,2550486
,1512385,49053,93,124,2014-02-07 16:38:18.803000,16404,2550487
,1512395,1383,93,3,2014-02-07 16:43:54.703000,16405,2550507
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550528
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550529
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550530
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550531
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550532
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550533
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550534
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550535
,1512406,54494,93,150,2014-02-07 16:51:31.137000,16406,2550536
,1512411,123935,93,82,2014-02-07 16:58:03.493000,16407,2550543
,1512416,1568,93,120,2014-02-07 17:01:50.133000,16408,2550549
,1512416,1568,93,120,2014-02-07 17:01:50.133000,16408,2550550
,1512422,1438,93,91,2014-02-07 17:03:21.143000,16409,2550557
,1512428,86319,93,52,2014-02-07 17:05:42.400000,16410,2550564
,1512815,86051,1179,91,2014-02-08 09:13:59.260000,16411,2551277
,1512816,110524,1179,43,2014-02-08 09:14:02.287000,16412,2551278
,1512817,76655,1179,68,2014-02-08 09:14:05.280000,16413,2551279
,1512818,121940,1179,53,2014-02-08 09:14:08.043000,16414,2551280
,1512819,1605,1179,221,2014-02-08 09:14:10.820000,16415,2551281
,1512820,84529,1179,88,2014-02-08 09:14:17.637000,16416,2551282
,1512821,123837,1179,98,2014-02-08 09:14:20.570000,16417,2551283
,1512822,76646,1179,102,2014-02-08 09:14:23.983000,16418,2551284
,1512823,76647,1179,102,2014-02-08 09:14:26.607000,16419,2551285
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551289
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551290
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551291
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551292
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551293
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551294
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551295
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551296
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551297
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551298
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551299
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551300
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551301
,1512826,78382,1179,467,2014-02-08 09:17:49.657000,16420,2551302
,1512832,130333,1179,63,2014-02-08 09:28:17.900000,16421,2551312
,1512832,130333,1179,63,2014-02-08 09:28:17.900000,16421,2551313
,1512832,130333,1179,63,2014-02-08 09:28:17.900000,16421,2551314
,1512891,97064,1179,25,2014-02-08 10:50:28.490000,16422,2551401
,1512978,77250,93,98,2014-02-08 11:55:23.720000,16423,2551553
,1512978,77250,93,98,2014-02-08 11:55:23.720000,16423,2551554
,1512978,77250,93,98,2014-02-08 11:55:23.720000,16423,2551555
,1513113,86147,93,141,2014-02-08 12:55:30.887000,16424,2551789
,1513113,86147,93,141,2014-02-08 12:55:30.887000,16424,2551790
,1513113,86147,93,141,2014-02-08 12:55:30.887000,16424,2551791
,1513190,130360,93,70,2014-02-08 13:36:52.057000,16427,2551947
,1513190,130360,93,70,2014-02-08 13:36:52.057000,16427,2551949
,1513705,121994,47,62,2014-02-08 18:40:46.587000,16429,2552761
,1514142,108414,47,70,2014-02-09 20:18:19.747000,16430,2553416
,1514289,63195,93,97,2014-02-10 10:09:48.797000,16431,2553612
,1514289,63195,93,97,2014-02-10 10:09:48.797000,16431,2553613
,1514301,1299,93,69,2014-02-10 10:15:00.390000,16432,2553633
,1514301,1299,93,69,2014-02-10 10:15:00.390000,16432,2553634
,1514305,108534,93,168,2014-02-10 10:19:09.837000,16433,2553639
,1514305,108534,93,168,2014-02-10 10:19:09.837000,16433,2553640
,1514305,108534,93,168,2014-02-10 10:19:09.837000,16433,2553641
,1514306,91649,93,68,2014-02-10 10:19:14.373000,16434,2553642
,1514307,116245,93,132,2014-02-10 10:19:17.603000,16435,2553643
,1514308,121998,93,53,2014-02-10 10:19:26.230000,16436,2553644
,1514309,52407,93,69,2014-02-10 10:19:28.867000,16437,2553645
,1514310,49619,93,71,2014-02-10 10:19:31.753000,16438,2553646
,1514311,78409,93,51,2014-02-10 10:19:34.483000,16439,2553647
,1514364,19281,93,57,2014-02-10 10:50:00.607000,16441,2553724
,1514371,28598,93,202,2014-02-10 10:52:44.360000,16442,2553736
,1514371,28598,93,202,2014-02-10 10:52:44.360000,16442,2553737
,1514376,75673,93,95,2014-02-10 10:54:33.747000,16443,2553743
,1514420,84596,93,58,2014-02-10 11:29:57.707000,16444,2553812
,1514620,75668,93,67.98,2014-02-10 12:49:15.307000,16445,2554120
,1514944,89862,93,237,2014-02-10 15:14:51.603000,16446,2554674
,1514944,89862,93,237,2014-02-10 15:14:51.603000,16446,2554675
,1514944,89862,93,237,2014-02-10 15:14:51.603000,16446,2554676
,1514991,73826,93,68,2014-02-10 15:39:31.523000,16447,2554753
,1515027,59919,47,69,2014-02-10 15:54:03.890000,16448,2554820
,1515030,114245,93,75,2014-02-10 15:56:32.147000,16449,2554822
,1515030,114245,93,75,2014-02-10 15:56:32.147000,16449,2554823
,1515031,114245,93,200,2014-02-10 15:57:30.157000,16450,2554824
,1515031,114245,93,200,2014-02-10 15:57:30.157000,16450,2554825
,1515031,114245,93,200,2014-02-10 15:57:30.157000,16450,2554826
,1515031,114245,93,200,2014-02-10 15:57:30.157000,16450,2554827
,1515031,114245,93,200,2014-02-10 15:57:30.157000,16450,2554828
,1515031,114245,93,200,2014-02-10 15:57:30.157000,16450,2554829
,1515052,108511,93,112,2014-02-10 16:10:31.490000,16451,2554864
,1515052,108511,93,112,2014-02-10 16:10:31.490000,16451,2554865
,1515059,76557,93,134,2014-02-10 16:15:43.077000,16452,2554874
,1515072,1304,93,84,2014-02-10 16:24:22.930000,16453,2554894
,1515072,1304,93,84,2014-02-10 16:24:22.930000,16453,2554895
,1515091,117792,93,97,2014-02-10 16:32:17.373000,16454,2554931
,1515091,117792,93,97,2014-02-10 16:32:17.373000,16454,2554932
,1515095,1368,93,144,2014-02-10 16:33:47.933000,16455,2554937
,1515095,1368,93,144,2014-02-10 16:33:47.933000,16455,2554938
,1515095,1368,93,144,2014-02-10 16:33:47.933000,16455,2554939
,1515095,1368,93,144,2014-02-10 16:33:47.933000,16455,2554940
,1515179,108506,47,40,2014-02-10 17:22:16.477000,16457,2555090
,1515183,108506,47,70,2014-02-10 17:23:43.330000,16458,2555094
,1515676,122009,47,112,2014-02-10 23:24:31.307000,16459,2555860
,1515749,47652,93,91,2014-02-11 09:24:05.610000,16460,2555991
,1515750,114129,93,384,2014-02-11 09:24:10.420000,16461,2555992
,1515750,114129,93,384,2014-02-11 09:24:10.420000,16461,2555993
,1515750,114129,93,384,2014-02-11 09:24:10.420000,16461,2555994
,1515751,125329,93,112,2014-02-11 09:24:18.097000,16462,2555995
,1515752,125330,93,79,2014-02-11 09:24:20.800000,16463,2555996
,1515753,84644,93,93,2014-02-11 09:24:24.223000,16464,2555997
,1515753,84644,93,93,2014-02-11 09:24:24.223000,16464,2555998
,1515756,41371,93,56,2014-02-11 09:34:10.863000,16465,2556003
,1515851,108603,47,132,2014-02-11 11:08:00.457000,16468,2556180
,1517014,118088,47,53,2014-02-12 16:08:42.740000,16469,2558920
,1517258,86209,47,184,2014-02-13 09:37:20.903000,16470,2559435
,1517258,86209,47,184,2014-02-13 09:37:20.903000,16470,2559436
,1517369,118111,93,184,2014-02-13 12:35:17.793000,16471,2559722
,1517370,88954,93,128,2014-02-13 12:35:23.817000,16472,2559723
,1517371,110740,93,132,2014-02-13 12:35:26.903000,16473,2559724
,1517372,78583,93,69,2014-02-13 12:35:30.727000,16474,2559725
,1517373,1525,93,98,2014-02-13 12:35:39.977000,16475,2559726
,1517511,108544,93,53,2014-02-13 15:08:43.780000,16476,2560036
,1517808,110664,47,98,2014-02-14 10:12:24.557000,16477,2560721
,1517910,78912,93,167,2014-02-14 12:17:18.560000,16478,2560947
,1517910,78912,93,167,2014-02-14 12:17:18.560000,16478,2560948
,1517910,78912,93,167,2014-02-14 12:17:18.560000,16478,2560949
,1517910,78912,93,167,2014-02-14 12:17:18.560000,16478,2560950
,1517997,124119,93,138,2014-02-14 13:18:11.580000,16479,2561107
,1518001,75188,93,476,2014-02-14 13:21:17.470000,16480,2561116
,1518001,75188,93,476,2014-02-14 13:21:17.470000,16480,2561117
,1518004,1426,93,61,2014-02-14 13:22:15.927000,16481,2561124
,1518008,1506,93,112,2014-02-14 13:26:43.480000,16482,2561129
,1518008,1506,93,112,2014-02-14 13:26:43.480000,16482,2561130
,1518023,130582,93,0,2014-02-14 13:31:38.643000,16483,2561165
,1518023,130582,93,0,2014-02-14 13:31:38.643000,16483,2561166
,1518166,116271,93,112,2014-02-14 15:46:36.410000,16484,2561501
,1518212,54494,93,390,2014-02-14 16:20:40.183000,16485,2561602
,1518212,54494,93,390,2014-02-14 16:20:40.183000,16485,2561603
,1518212,54494,93,390,2014-02-14 16:20:40.183000,16485,2561604
,1518212,54494,93,390,2014-02-14 16:20:40.183000,16485,2561605
,1518212,54494,93,390,2014-02-14 16:20:40.183000,16485,2561606
,1518212,54494,93,390,2014-02-14 16:20:40.183000,16485,2561607
,1518212,54494,93,390,2014-02-14 16:20:40.183000,16485,2561608
,1518217,1357,93,112,2014-02-14 16:22:49.977000,16486,2561622
,1518218,68320,93,95,2014-02-14 16:22:53.267000,16487,2561623
,1518219,1509,93,104,2014-02-14 16:22:56.247000,16488,2561624
,1518223,1538,93,124,2014-02-14 16:25:57.910000,16489,2561635
,1518223,1538,93,124,2014-02-14 16:25:57.910000,16489,2561636
,1518230,118218,93,60,2014-02-14 16:35:44.643000,16490,2561646
,1518478,114268,47,112,2014-02-15 08:51:27.320000,16491,2562102
,1518499,110956,93,53,2014-02-15 09:36:57.930000,16492,2562139
,1518561,75686,93,95,2014-02-15 11:10:05.337000,16493,2562246
,1518563,122852,93,347,2014-02-15 11:11:08.233000,16494,2562250
,1518563,122852,93,347,2014-02-15 11:11:08.233000,16494,2562251
,1518564,1450,93,69,2014-02-15 11:12:09.853000,16495,2562252
,1518564,1450,93,69,2014-02-15 11:12:09.853000,16495,2562253
,1518565,1559,93,111,2014-02-15 11:13:05.377000,16496,2562254
,1518565,1559,93,111,2014-02-15 11:13:05.377000,16496,2562255
,1518566,28607,93,91,2014-02-15 11:13:42.817000,16497,2562256
,1518598,44404,47,89,2014-02-15 11:47:53.723000,16498,2562343
,1518615,110962,93,132,2014-02-15 11:57:51.367000,16499,2562370
,1518669,130622,93,184,2014-02-15 12:40:22.313000,16500,2562484
,1518669,130622,93,184,2014-02-15 12:40:22.313000,16500,2562504
,1518704,157576,93,69,2014-02-15 12:54:44.090000,16501,2562542
,1518716,116253,93,92,2014-02-15 13:09:38.157000,16502,2562573
,1518886,114100,47,92,2014-02-15 16:05:15.373000,16503,2562948
,1519117,118103,47,108,2014-02-16 09:54:43.553000,16504,2563490
,1519233,75313,47,109,2014-02-16 15:51:26.427000,16505,2563702
,1519367,76875,47,128,2014-02-17 09:25:37.690000,16506,2563926
,1519392,95356,93,68,2014-02-17 10:02:19.393000,16507,2563956
,1519393,74039,93,85,2014-02-17 10:02:23.183000,16508,2563957
,1519394,114548,93,92,2014-02-17 10:02:26.087000,16509,2563958
,1519395,1550,93,111,2014-02-17 10:02:29.003000,16510,2563959
,1519397,41198,93,216,2014-02-17 10:02:38.597000,16511,2563961
,1519398,114450,93,98,2014-02-17 10:02:41.313000,16512,2563962
,1519399,86366,93,97,2014-02-17 10:02:44.167000,16513,2563963
,1519400,108910,93,70,2014-02-17 10:02:47.630000,16514,2563964
,1519401,1310,93,42,2014-02-17 10:02:50.657000,16515,2563965
,1519403,118268,93,112,2014-02-17 10:02:57.693000,16516,2563967
,1519419,55058,93,212,2014-02-17 10:12:15.953000,16517,2563992
,1519419,55058,93,212,2014-02-17 10:12:15.953000,16517,2563993
,1519419,55058,93,212,2014-02-17 10:12:15.953000,16517,2563994
,1519419,55058,93,212,2014-02-17 10:12:15.953000,16517,2563995
,1519485,1321,93,15,2014-02-17 11:39:15.910000,16518,2564142
,1519488,1321,93,85,2014-02-17 11:40:33.957000,16519,2564148
,1519494,1408,93,84,2014-02-17 11:48:02.350000,16520,2564164
,1519494,1408,93,84,2014-02-17 11:48:02.350000,16520,2564165
,1519606,121414,93,113,2014-02-17 13:41:06.380000,16521,2564350
,1519606,121414,93,113,2014-02-17 13:41:06.380000,16521,2564351
,1519655,130703,93,0,2014-02-17 14:38:02.077000,16522,2564483
,1519659,130704,93,0,2014-02-17 14:40:56.987000,16523,2564486
,1519686,130704,93,0,2014-02-17 14:59:52,16524,2564563
,1519691,117400,93,322,2014-02-17 15:07:01.513000,16525,2564592
,1519691,117400,93,322,2014-02-17 15:07:01.513000,16525,2564593
,1519693,117400,93,176,2014-02-17 15:08:09.357000,16526,2564598
,1519693,117400,93,176,2014-02-17 15:08:09.357000,16526,2564599
,1519721,86147,93,126,2014-02-17 15:37:47.640000,16527,2564715
,1519721,86147,93,126,2014-02-17 15:37:47.640000,16527,2564716
,1519730,84994,93,111,2014-02-17 15:44:00.997000,16528,2564732
,1519754,1584,93,91,2014-02-17 16:17:56.240000,16529,2564796
,1519933,129206,47,132,2014-02-18 09:17:25.323000,16530,2565160
,1519936,129389,93,70,2014-02-18 09:28:58.657000,16531,2565165
,1519938,1568,93,120,2014-02-18 09:35:56.987000,16532,2565168
,1519938,1568,93,120,2014-02-18 09:35:56.987000,16532,2565169
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565181
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565182
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565183
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565184
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565185
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565186
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565187
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565188
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565189
,1519946,1293,93,718,2014-02-18 10:02:33.430000,16533,2565190
,1519964,85952,93,84,2014-02-18 10:19:13.297000,16534,2565213
,1519964,85952,93,84,2014-02-18 10:19:13.297000,16534,2565214
,1519971,78973,93,120,2014-02-18 10:33:06.543000,16535,2565225
,1519974,130746,93,80,2014-02-18 10:50:00.263000,16536,2565229
,1519974,130746,93,80,2014-02-18 10:50:00.263000,16536,2565230
,1519974,130746,93,80,2014-02-18 10:50:00.263000,16536,2565231
,1519989,116261,93,139,2014-02-18 11:08:32.140000,16537,2565255
,1519989,116261,93,139,2014-02-18 11:08:32.140000,16537,2565256
,1519990,116261,93,100,2014-02-18 11:10:34.663000,16538,2565257
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565471
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565472
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565473
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565474
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565475
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565476
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565477
,1520094,122415,93,408,2014-02-18 13:07:30.220000,16539,2565478
,1520112,1439,93,196,2014-02-18 13:37:14.607000,16540,2565506
,1520112,1439,93,196,2014-02-18 13:37:14.607000,16540,2565507
,1520112,1439,93,196,2014-02-18 13:37:14.607000,16540,2565508
,1520112,1439,93,196,2014-02-18 13:37:14.607000,16540,2565509
,1520167,86275,93,69,2014-02-18 14:34:47.103000,16541,2565705
,1520172,78863,93,89,2014-02-18 14:36:46.283000,16542,2565711
,1520172,78863,93,89,2014-02-18 14:36:46.283000,16542,2565712
,1520232,94262,93,859,2014-02-18 15:27:45.670000,16543,2565861
,1520232,94262,93,859,2014-02-18 15:27:45.670000,16543,2565862
,1520232,94262,93,859,2014-02-18 15:27:45.670000,16543,2565863
,1520232,94262,93,859,2014-02-18 15:27:45.670000,16543,2565864
,1520232,94262,93,859,2014-02-18 15:27:45.670000,16543,2565865
,1520232,94262,93,859,2014-02-18 15:27:45.670000,16543,2565866
,1520232,94262,93,859,2014-02-18 15:27:45.670000,16543,2565867
,1520262,1440,93,223,2014-02-18 15:59:40.930000,16544,2565930
,1520262,1440,93,223,2014-02-18 15:59:40.930000,16544,2565931
,1520263,129308,93,70,2014-02-18 15:59:44.727000,16545,2565932
,1520480,79077,47,150,2014-02-19 08:20:14.467000,16546,2566398
,1520480,79077,47,150,2014-02-19 08:20:14.467000,16546,2566399
,1520480,79077,47,150,2014-02-19 08:20:14.467000,16546,2566400
,1520518,1478,1212,131,2014-02-19 09:47:00.283000,16547,2566460
,1520519,63628,1212,70,2014-02-19 09:47:03.980000,16548,2566461
,1520520,48905,1212,91,2014-02-19 09:47:07.117000,16549,2566462
,1520606,3003,1212,91,2014-02-19 11:54:05.090000,16550,2566651
,1520656,95559,1212,100,2014-02-19 12:55:01.190000,16551,2566746
,1520656,95559,1212,100,2014-02-19 12:55:01.190000,16551,2566747
,1520656,95559,1212,100,2014-02-19 12:55:01.190000,16551,2566748
,1520656,95559,1212,100,2014-02-19 12:55:01.190000,16551,2566749
,1520723,122472,1212,112,2014-02-19 14:15:12.413000,16552,2566899
,1520743,1378,47,46.32,2014-02-19 14:35:21.690000,16553,2566940
,1520831,130807,1212,174,2014-02-19 15:49:29.843000,16554,2567119
,1520831,130807,1212,174,2014-02-19 15:49:29.843000,16554,2567121
,1520837,130807,1212,141,2014-02-19 15:55:46.727000,16555,2567129
,1520837,130807,1212,141,2014-02-19 15:55:46.727000,16555,2567133
,1520867,1335,1212,91,2014-02-19 16:33:23.677000,16556,2567205
,1520867,1335,1212,91,2014-02-19 16:33:23.677000,16556,2567206
,1520867,1335,1212,91,2014-02-19 16:33:23.677000,16556,2567207
,1520869,1299,1212,84,2014-02-19 16:35:39.863000,16557,2567210
,1520869,1299,1212,84,2014-02-19 16:35:39.863000,16557,2567211
,1521001,77098,47,89,2014-02-19 19:31:53.830000,16558,2567475
,1521082,124135,47,92,2014-02-20 09:27:57.453000,16559,2567602
,1521126,122852,93,43,2014-02-20 10:59:03.570000,16560,2567706
,1521138,1322,93,91,2014-02-20 11:22:40.193000,16561,2567728
,1521139,73473,93,222,2014-02-20 11:22:43.797000,16562,2567729
,1521140,85018,93,183,2014-02-20 11:22:46.840000,16563,2567730
,1521286,1346,93,69,2014-02-20 13:57:32.477000,16564,2568122
,1521296,48155,93,141,2014-02-20 14:07:31.547000,16565,2568133
,1521344,1436,93,91,2014-02-20 14:53:00.813000,16566,2568222
,1521344,1436,93,91,2014-02-20 14:53:00.813000,16566,2568223
,1521344,1436,93,91,2014-02-20 14:53:00.813000,16566,2568224
,1521656,111331,93,130,2014-02-21 09:32:27.910000,16568,2568872
,1521656,111331,93,130,2014-02-21 09:32:27.910000,16568,2568873
,1521657,124452,93,130,2014-02-21 09:32:32.073000,16569,2568874
,1521657,124452,93,130,2014-02-21 09:32:32.073000,16569,2568875
,1521660,53287,93,69,2014-02-21 09:37:02.777000,16570,2568882
,1521674,75664,93,68,2014-02-21 09:59:06.433000,16571,2568909
,1521978,114281,93,50,2014-02-21 15:12:09.007000,16572,2569638
,1521979,114281,93,25,2014-02-21 15:12:51.380000,16573,2569639
,1521997,47823,93,153,2014-02-21 15:29:51.643000,16574,2569691
,1522010,114281,93,151,2014-02-21 15:41:53.280000,16575,2569720
,1522010,114281,93,151,2014-02-21 15:41:53.280000,16575,2569721
,1522010,114281,93,151,2014-02-21 15:41:53.280000,16575,2569722
,1522010,114281,93,151,2014-02-21 15:41:53.280000,16575,2569723
,1522010,114281,93,151,2014-02-21 15:41:53.280000,16575,2569724
,1522056,122399,93,70,2014-02-21 16:10:29.170000,16576,2569823
,1522087,91744,93,174,2014-02-21 16:40:10.127000,16577,2569890
,1522087,91744,93,174,2014-02-21 16:40:10.127000,16577,2569891
,1522087,91744,93,174,2014-02-21 16:40:10.127000,16577,2569892
,1522119,1436,93,15,2014-02-21 17:08:40.993000,16578,2569940
,1522120,1436,93,15,2014-02-21 17:09:06.313000,16579,2569941
,1522330,56220,1179,111,2014-02-22 09:39:59.903000,16580,2570398
,1522331,1441,1179,69,2014-02-22 09:48:47.530000,16581,2570399
,1522332,107322,1179,88,2014-02-22 09:48:50.820000,16582,2570400
,1522333,82644,1179,61,2014-02-22 09:48:53.923000,16583,2570401
,1522334,47201,1179,69,2014-02-22 09:48:56.920000,16584,2570402
,1522387,75543,1179,15,2014-02-22 11:27:47.487000,16585,2570498
,1522391,75543,1179,95,2014-02-22 11:29:01.180000,16586,2570507
,1522399,1564,1179,85,2014-02-22 11:37:05.593000,16587,2570519
,1522399,1564,1179,85,2014-02-22 11:37:05.593000,16587,2570520
,1522403,117191,1179,112,2014-02-22 11:40:48.783000,16588,2570529
,1522418,116824,1179,308,2014-02-22 11:55:36.517000,16589,2570566
,1522418,116824,1179,308,2014-02-22 11:55:36.517000,16589,2570567
,1522561,77349,1179,184,2014-02-22 13:55:37.040000,16590,2570848
,1522561,77349,1179,184,2014-02-22 13:55:37.040000,16590,2570849
,1522561,77349,1179,184,2014-02-22 13:55:37.040000,16590,2570850
,1522597,90586,1179,159,2014-02-22 14:26:44.437000,16591,2570937
,1523032,114671,47,102,2014-02-24 08:52:56.413000,16592,2571780
,1523071,27302,93,79,2014-02-24 09:44:38.543000,16593,2571821
,1523071,27302,93,79,2014-02-24 09:44:38.543000,16593,2571822
,1523072,1470,93,128,2014-02-24 09:48:10.580000,16594,2571823
,1523075,95724,93,95,2014-02-24 09:52:25.967000,16595,2571827
,1523076,115015,93,112,2014-02-24 09:52:29.977000,16596,2571828
,1523077,47201,93,69,2014-02-24 09:52:33.753000,16597,2571829
,1523078,1310,93,52,2014-02-24 09:52:37.590000,16598,2571830
,1523079,77282,93,89,2014-02-24 09:52:42.580000,16599,2571831
,1523080,117016,93,53,2014-02-24 09:52:51.130000,16600,2571832
,1523081,74339,93,68,2014-02-24 09:52:56.030000,16601,2571833
,1523084,129924,93,0,2014-02-24 09:57:14,16602,2571839
,1523086,129924,93,6,2014-02-24 09:58:49.137000,16603,2571842
,1523155,129924,93,112,2014-02-24 11:17:31.107000,16604,2571995
,1523180,131030,93,0,2014-02-24 11:31:33.900000,16605,2572039
,1523190,131032,93,161,2014-02-24 11:37:41.047000,16606,2572080
,1523190,131032,93,161,2014-02-24 11:37:41.047000,16606,2572083
,1523196,78801,93,83,2014-02-24 11:41:58.540000,16607,2572089
,1523196,78801,93,83,2014-02-24 11:41:58.540000,16607,2572090
,1523277,123030,47,92,2014-02-24 12:28:08.217000,16608,2572253
,1523300,1564,93,69,2014-02-24 12:40:15.503000,16609,2572297
,1523510,121414,93,98,2014-02-24 15:20:27.443000,16610,2572747
,1523528,59874,93,135,2014-02-24 15:35:33.120000,16611,2572791
,1523528,59874,93,135,2014-02-24 15:35:33.120000,16611,2572792
,1523528,59874,93,135,2014-02-24 15:35:33.120000,16611,2572793
,1523528,59874,93,135,2014-02-24 15:35:33.120000,16611,2572794
,1523528,59874,93,135,2014-02-24 15:35:33.120000,16611,2572795
,1523528,59874,93,135,2014-02-24 15:35:33.120000,16611,2572796
,1523582,117116,93,132,2014-02-24 16:08:29.887000,16612,2572896
,1523857,77344,93,129,2014-02-25 10:04:55.377000,16613,2573427
,1523858,77345,93,200,2014-02-25 10:04:58.790000,16614,2573428
,1523858,77345,93,200,2014-02-25 10:04:58.790000,16614,2573429
,1523859,77346,93,103,2014-02-25 10:05:01.617000,16615,2573430
,1523860,1543,93,60,2014-02-25 10:05:04.423000,16616,2573431
,1523862,1543,93,115,2014-02-25 10:05:11.193000,16617,2573435
,1523862,1543,93,115,2014-02-25 10:05:11.193000,16617,2573436
,1523863,115085,93,70,2014-02-25 10:05:14.657000,16618,2573437
,1523864,80049,93,143,2014-02-25 10:07:33.887000,16619,2573438
,1523937,1312,93,106,2014-02-25 11:58:49.060000,16620,2573595
,1523942,43761,93,15,2014-02-25 12:03:17.677000,16621,2573604
,1523996,1477,47,71,2014-02-25 12:56:01.507000,16622,2573710
,1524063,75898,93,89,2014-02-25 13:45:16.527000,16623,2573868
,1524169,61636,93,0,2014-02-25 15:12:10,16624,2574095
,1524169,61636,93,0,2014-02-25 15:12:10,16624,2574096
,1524169,61636,93,0,2014-02-25 15:12:10,16624,2574097
,1524197,1519,93,0,2014-02-25 15:30:09,16625,2574181
,1524252,92542,93,89,2014-02-25 16:04:36.533000,16626,2574320
,1524304,111630,93,70,2014-02-25 16:49:30.033000,16627,2574406
,1524308,128256,93,60,2014-02-25 16:54:15.157000,16628,2574418
,1524440,1355,47,206,2014-02-25 18:44:36.510000,16629,2574678
,1524499,93194,47,109,2014-02-25 20:30:45.257000,16630,2574807
,1524564,118212,1212,70,2014-02-26 09:37:22.500000,16631,2574933
,1524568,1359,1212,131,2014-02-26 09:47:08.343000,16632,2574939
,1524599,87073,1212,98,2014-02-26 10:24:39.660000,16633,2575005
,1524600,95899,1212,41.29,2014-02-26 10:24:45.853000,16634,2575006
,1524601,111644,1212,255,2014-02-26 10:24:49.677000,16635,2575007
