timestamp,row_number,record_id,field,skip_reason,extra_info
2026-05-20T16:33:53.720585,323,418864,LEDGERID,LedgerID 21993 has no matching customer,21993
2026-05-20T16:33:53.721061,324,418865,LEDGERID,LedgerID 21993 has no matching customer,21993
